order_id,order_date,region,city,channel,segment,category,subcategory,payment_method,quantity,unit_price,discount_rate,distance_km,weight_kg,promised_delivery_days,actual_delivery_days,returned,customer_satisfaction,shipping_cost,cogs,payment_fee,net_sales,profit,staff_id,customer_id
ORD-KYRM2M37,2025-03-20,Eldoret,Kapsoya,Retail,Consumer,Grocery,Beverages,M-Pesa,3,156.25,0.026,27.7,2.68,0,0,0,4.36,145.74,351.83,2.28,456.71,-43.15,S-WCUKHG,C-5MBPE1AQ
ORD-UUGGJNLF,2024-07-05,Kisumu,Manyatta,Retail,Consumer,Grocery,Dry Goods,M-Pesa,7,440.9,0.106,13.9,2.4,2,2,0,4.41,107.36,2104.73,13.8,2759.97,534.08,S-G9SCRH,C-TAZUQM6X
ORD-2LASMKHU,2025-01-02,Mombasa,Nyali,Online,Consumer,Building Materials,Steel,Card,5,1615.61,0.102,26.0,5.37,2,0,0,3.72,463.12,5388.0,159.6,7254.43,1243.71,,C-J4NZTBD8
ORD-VCNWSTDM,2025-09-03,Mombasa,Nyali,Online,SME,Grocery,Beverages,M-Pesa,5,194.65,0.147,73.0,3.75,2,3,0,3.66,779.95,678.06,4.15,829.99,-632.16,,C-TRA39OTV
ORD-BPU90RN2,2024-10-20,Nairobi,Westlands,Retail,Consumer,Grocery,Dairy,M-Pesa,4,233.56,0.07,29.8,0.9,1,4,0,3.45,137.72,611.17,4.34,868.47,115.23,S-MBKHZP,C-FJBLSXZ3
ORD-4ZDPI2MU,2024-09-02,Kisumu,Milimani,Online,Consumer,Electronics,TVs,M-Pesa,4,59732.92,0.211,27.8,3.73,4,4,0,4.19,440.74,127203.57,941.99,188398.0,59811.7,,C-8BUOFBB7
ORD-4N0GDCLF,2024-04-12,Mombasa,Changamwe,Retail,Consumer,Grocery,Dry Goods,M-Pesa,4,492.05,0.105,24.2,3.88,0,0,0,4.64,146.02,1353.51,8.81,1762.06,253.72,S-WWE76H,C-AKAY4HEN
ORD-D40OP4Y2,2024-05-22,Nakuru,Bahati,Retail,SME,Building Materials,Steel,Cash on Delivery,1,1462.76,0.179,12.8,2.75,1,2,0,4.22,107.34,895.45,0.0,1201.62,198.83,S-SCUPHX,C-AJU7YV0D
ORD-DX6YMN6G,2025-08-04,Nakuru,Lanet,Agent,Consumer,Grocery,Dry Goods,M-Pesa,1,461.01,0.161,40.3,12.94,3,4,0,3.66,736.59,314.87,1.93,386.96,-666.44,S-DPSICJ,C-M6STSSKW
ORD-NWXGSOQE,2025-04-03,Nakuru,Bahati,Retail,Consumer,Grocery,Dry Goods,M-Pesa,8,587.87,0.172,53.2,4.25,2,2,0,4.4,224.76,2998.31,19.48,3895.13,652.59,S-IPMBH1,C-2PSJM6K6
ORD-1NHAKZ3R,2024-01-31,Mombasa,Kisauni,Retail,Consumer,Grocery,Dairy,M-Pesa,1,176.77,0.053,34.5,1.47,2,2,0,3.99,154.47,126.12,0.84,167.45,-113.98,S-ZFEP1Y,C-VOV6XAL7
